"","name","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","address","street","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","address_admin","APN","url","zip","county","city","y","x"
"155","Miss Kelli's Karaoke Bar","","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Ms. Kelli's offers a fun and friendly atmosphere, with a wide selection of songs to choose from and professional sound equipment to ensure a great performance. In addition to karaoke, the venue also offer other entertainment options ","Kelli Joan","kellijoan2@gmail.com","(615) 255-4423","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"207 3RD AVE N 101","093023D00100CO","No website available",37201,"Davidson","Nashville",36.1644304485074,-86.7783040236767
"156","Mockingbird Theatre","","1. Yes","","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The Mockingbird Theater is an intimate, beautiful theater in the historic town of Franklin, TN, just 10 miles from Nashville. Located inside the Factory at Franklin.","","info@mockingbirdtheater.com","
(615) 429-0157","","","No Genre Specifed",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Moonlite Drive-in","","2. No","660","4. Information unavailable","1. 1-4 Events per month","","","4. Very Likely","3. Somewhat likely","3. Somewhat likely","4. Very Likely",NA,"1.Not At All Likely",0,1,0,"Old School Movie Drive in Theatre with occasional live music concerts which is open seasonally","","","(615) 563-7900","","","No Genre Specifed",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"941 B MAIN ST","082124D90000CO","http://themoonlite.com/",37190,"Davidson","Nashville",36.1774416765365,-86.7543947091663
"158","Moxy Nashville","","2. No","200","4. Information unavailable","","","","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Hotel off of the world famous Music Row with deep musical influences","","","(615) 385-1911","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"110 3RD AVE S","09306405700","https://www.marriott.com/en-us/hotels/bnaox-moxy-nashville-downtown/overview/?scid=4960477f-bf38-4508-b37a-cd0d10a77ef3&gclid=Cj0KCQiAorKfBhC0ARIsAHDzslsbJMMHj35WK7a9s7XwmQeMY3Cx_r9XJFo3Ki-1Tic4ObAWrksvGMEaAufoEALw_wcB&gclsrc=aw.ds",37201,"Davidson","Nashville",36.1611678467654,-86.7753443702178
"159","Music City Bar & Grill","","3. Information unavailable","Null","4. Information unavailable","3. 11-20 Events per month","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Chill late-night hangout featuring live country music, pub grub & draft beer, plus a covered patio.","","","(615) 883-2367","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2416 MUSIC VALLEY DR","06200023300","No website available",37214,"Davidson","Nashville",36.2193629960737,-86.6971097730653
"160","Music City Center","Marcus Dowling","2. No","10000","4. Information unavailable","2. 5-10 Events per month","","1. Ticket sales","4. Very Likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"A large convention complex located in downtown Nashville that hosts citywide conventions and large musical events","","","(615) 401-1400","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"201 REP JOHN LEWIS WAY S","09310047300","https://www.nashvillemusiccitycenter.com/",37203,"Davidson","Nashville",36.1572191426445,-86.7772524524039
"161","Music City Walk of Fame Park","","2. No","1500","4. Information unavailable","1. 1-4 Events per month","3. 11-20 Years","","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Star-studded pavement honoring Nashville music legends alongside the Nashville Music Garden featuring induction ceremonies and live music performances","","","(615) 862-8400","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"121 4TH AVE S","093064B00100CO","https://www.visitmusiccity.com/walkoffame/",37203,"Davidson","Nashville",36.1599931884855,-86.777422893388
"162","Music Makers Stages at Delgado Guitars","Eric Holt","1. Yes","","4. Information unavailable","1. 1-4 Events per month","","4. Mixed/all of the above","2. Not too likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"The Music Makers Stage is a small, intimate live event space with virtual capabilities.","","musicmakersstage@gmail.com","(615) 227-4578 ","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"919 A GALLATIN AVE","08301041800","https://musicmakersstage.com/",37206,"Davidson","Nashville",36.1870648990231,-86.7464679848369
"163","Musicians Corner","Eric Holt","2. No","","3. Never","2. 5-10 Events per month","3. 11-20 Years","1. Ticket sales","4. Very Likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"3. Somewhat likely",0,0,0,"Since 2010, Musicians Corner has provided free public access to live music in the heart of Music City. Located in beautiful Centennial Park, the series generally takes place in May / June and September each year. ","Justin Branam"," justin@musicianscornernashville.com","","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2500 WEST END AVE","09214007600","https://www.musicianscornernashville.com/",37203,"Davidson","Nashville",36.1494376021062,-86.8129354989031
"164","Musicians Hall of Fame and Museum","","2. No","1500","2. Sometimes","","3. 11-20 Years","","2. Not too likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"This museum honors notable Nashville musicians regardless of genre or instrument featuring private event spaces and live music events","","","(615) 244-3263","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"417 4TH AVE N","09302001300","https://www.musicianshalloffame.com/",37219,"Davidson","Nashville",36.1675228673492,-86.7822397826025
"165","NashHouse Southern Spoon and Saloon","","3. Information unavailable","Null","4. Information unavailable","","","3. Tips","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Rustic-industrial outlet offering hearty Southern grub alongside drafts on tap, whiskey & cocktails and live music every night.","","","(615) 649-8022","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1222 DEMONBREUN ST","093090E00100CO","https://www.nashhousesaloon.com/",37203,"Davidson","Nashville",36.1546840155627,-86.7876110266038
"166","Nashville Children's Theatre","","","540","3. Never","","4. 20+ Years","","4. Very Likely","4. Very Likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"One of the oldest operating professional children's theatre companies in the U.S. featuring musical performances by children and their families","","","(615) 254-9103","","","No Genre Specifed",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"700 PRESIDENT RONALD REAGAN WAY","09311019900","https://nashvillechildrenstheatre.org/",37210,"Davidson","Nashville",36.1540188977757,-86.7683500886306
"167","Nashville Farmers' Market","Eric Holt","2. No","Null","4. Information unavailable","1. 1-4 Events per month","4. 20+ Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"The farmers market in Nashville hosts a vibrant mix of local and visiting musicians even featuring music buskers if space allows","","","(615) 880-2001","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"900 ROSA L PARKS BLVD","08213036600","https://www.nashvillefarmersmarket.org/",37208,"Davidson","Nashville",36.1711222096749,-86.7877884184662
"168","Nashville Jazz Workshop","Eric Holt","2. No","Null","4. Information unavailable","3. 11-20 Events per month","4. 20+ Years","","4. Very Likely","3. Somewhat likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,0,0,"Nashville's community center for jazz, with classes, public performances, and special events. The Nashville Jazz Workshop is a non-profit organization supporting jazz musicians, jazz fans, and the jazz community","","","(615) 242-5299","","","Jazz",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1012 BUCHANAN ST","08107051800","https://nashvillejazz.org/",37208,"Davidson","Nashville",36.1806230816494,-86.8042056588988
"169","Nashville Municipal Auditorium","Eric Holt","2. No","9700","1. Always","2. 5-10 Events per month","4. 20+ Years","","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"The Nashville Municipal Auditorium is an indoor sports and concert venue in Nashville, Tennessee, which also houses the Musicians Hall of Fame and Museum. Constructed in 1962, the Auditorium was the first public assembly facility in the Mid South with ai","","","(615) 862-6982","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"417 4TH AVE N","09302001300","https://www.nashvilleauditorium.com/",37201,"Davidson","Nashville",36.1675228673492,-86.7822397826025
"170","Nashville Nightlife Theater","","2. No","280","4. Information unavailable","4. 20+ Events per month","","4. Mixed/all of the above","3. Somewhat likely","4. Very Likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Large dinner theater featuring a homestyle buffet & performances by acclaimed country-music artists","","","(615) 885-4747","","","Country",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"2416 MUSIC VALLEY DR","06200023300","http://www.nashvillenightlife.com/",37214,"Davidson","Nashville",36.2193629960737,-86.6971097730653
"171","Nashville Palace","Marcus Dowling","2. No","725","4. Information unavailable","3. 11-20 Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","4. Very Likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Classic country music acts perform at this famed, rustic honky tonk with dancing & pub grub.","","","(615) 889-1541","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Nashville Underground","","1. Yes","500","4. Information unavailable","4. 20+ Events per month","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Owned by singer-songwriters Gavin and Joey DeGraw, this 4-level venue serves fried chicken, live music & beers.","","info@nashunderground.com","(615) 964-3000","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"105 BROADWAY","09306210100","https://www.nashunderground.com/",37201,"Davidson","Nashville",36.1618162660194,-86.7744782712609
"173","Nashville's War Memorial Auditorium","Adrianna Flax","2. No","2,000","1. Always","4. 20+ Events per month","4. 20+ Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"The War Memorial Auditorium is a 2,000-seat performance hall located in Nashville, Tennessee. Built in 1925, it served as home of the Grand Ole Opry during 1939-43. It is also known as the War Memorial Building, the Tennessee War Memorial, or simply the","","","(615) 782-4000","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"301 6TH AVE N","09301008100","https://www.tpac.org/rentals/war-memorial-auditorium/",37243,"Davidson","Nashville",36.1644895542079,-86.7831345291273
"174","Natl Museum of African American Music","Eric Holt","2. No","","4. Information unavailable","1. 1-4 Events per month","2. 3-10 Years","","3. Somewhat likely","3. Somewhat likely","4. Very Likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"NMAAM is the only museum dedicated to preserving and celebrating the many music genres created, influenced, and inspired by African Americans.","H. Beecher Hicks III ","info@nmaam.org","615-301-8724","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"500 BROADWAY","093063A00300CO","https://www.nmaam.org/",37203,"Davidson","Nashville",36.160707949874,-86.7791700502812
"175","Nectar Urban Cantina","Adrianna Flax","3. Information unavailable","","4. Information unavailable","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","2. Not too likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Nectar Cantina is a restaurant and bar located in Nashville, Tennessee that serves Mexican-inspired cuisine and a variety of drinks.","","nectarcantina@gmail.com","(615) 454-2277","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"206 MCGAVOCK PIKE","09504003100","https://www.nectarcantina.com/",37214,"Davidson","Nashville",36.1681389042098,-86.6807180053028
"176","Neighbors of Sylvan Park","","3. Information unavailable","","4. Information unavailable","","3. 11-20 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Neighborhood Sports and Entertainment Bar with live music peformances.","","","(615) 942-5052","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"4425 MURPHY RD","10308005400","No website available",37209,"Davidson","Nashville",36.1407000343448,-86.840106106772
"177","Nissan Stadium","Eric Holt","2. No","69143","1. Always","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","1.Not At All Likely","2. Not too likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Multipurpose stadium daily used for the Tennessee Titans as their home field but also for concerts and the CMA Music festival each June","","","(615) 565-4300","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1 TITANS WAY","09303006600","https://www.tennesseetitans.com/stadium/",37213,"Davidson","Nashville",36.1661718380032,-86.7715277080985
"178","Noble's East Nashville","","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Noble's East Nashville is a bar and restaurant located in downtown Nashville, Tennessee. It offers a range of services, including drinks, snacks, traditional straight razor shaves, and live music performances.","","","(615) 922-4189","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"974 MAIN ST","08309019300","http://noblesbeerhall.com/",37206,"Davidson","Nashville",36.1776242311874,-86.7519245439188
"179","Nudie's Honky Tonk","Marcus Dowling","3. Information unavailable","750","4. Information unavailable","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"This long-running, multi-level hangout features live music & a roadhouse vibe, plus a rooftop bar.","","","","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"409 BROADWAY","09306400600","https://www.nudieshonkytonk.com/",37203,"Davidson","Nashville",36.1605166616766,-86.7773290764037
"180","Old Glory","Eric Holt","1. Yes","","4. Information unavailable","3. 11-20 Events per month","3. 11-20 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0," Old Glory is a specialty cocktail bar that's located in an old 1920s boiler room in Nashville, Tennessee's Edgehill Village neighborhood.","","info@oldglorynashville.com","","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1200 VILLA PL","10501023300","https://oldglorynashville.com/",37212,"Davidson","Nashville",36.1427160803375,-86.791675486161
"181","Ole Red","Eric Holt","1. Yes","697","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Multi-level entertainment venue inspired by Blake Shelton's hit ""Old' Red"" featuring a two-story bar and restaurant, retail area, performance space, and dance floor.","","nashville@olered.com","(615) 780-0900","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"300 BROADWAY","09306202900","https://olered.com/nashville/",37201,"Davidson","Nashville",36.1617422644678,-86.776286262436
"182","Opry Backstage Grill","Marcus Dowling","2. No","Null","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Rustic dishes with roots in the Tennessee hills & live country music in a fun & lively atmosphere.","","","(615) 231-8854","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2401 MUSIC VALLEY DR","06200002900","https://www.marriott.com/en-us/hotels/bnagi-the-inn-at-opryland-a-gaylord-hotel/dining/?EM=DNM_OPRYBACKSTAGEGRILL.COM",37214,"Davidson","Nashville",36.2178625537805,-86.6949961412843
"183","Out Loud Music Festival; Tomato Art Fest ","Adrianna Flax","2. No","","4. Information unavailable","1. 1-4 Events per month","3. 11-20 Years","","2. Not too likely","3. Somewhat likely","2. Not too likely","2. Not too likely",NA,"2. Not too likely",0,0,0,"Tomato Art Fest has been uniting fruits and vegetables since 2004. The annual festival attracts people from all over with fun-themed art, local music, delicious food, costumes, wacky contests, shopping, kids activities, & more. ","Jack Davis","jack@goodneighborfestivals.com","","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Out Loud Music Festival; Tomato Art Fest ","","3. Information unavailable","","4. Information unavailable","1. 1-4 Events per month","2. 3-10 Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","4. Very Likely","4. Very Likely",NA,"4. Very Likely",0,1,0,"OUTLOUD Music Festival was created in 2017 to celebrate LGBTQI+ and ally musicians/artists. The festival creates a fun, energetic, and diverse line up that celebrates equality. ","","","","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Outback Presents","","1. Yes","","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","1. Ticket sales","2. Not too likely","4. Very Likely","4. Very Likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Outback Presents is the leading independent full-service promoter of live entertainment in North America.","Vaughn Millette","","(615) 242-3323","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"209 10TH AVE S","09309032000","https://www.outbackpresents.com/",37203,"Davidson","Nashville",36.1551063591957,-86.7825688983274
"186","Oz Arts Nashville","Eric Holt","1. Yes","","1. Always","3. 11-20 Events per month","2. 3-10 Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Contemporary arts center that's housed in a newly renovated former cigar warehouse featuring a modern, flexible performance and installation space","Tim Ozgener","info@ozartsnashville.org","(615) 350-7200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"6172 COCKRILL BEND CIR","07900009400","https://www.ozartsnashville.org/",37209,"Davidson","Nashville",36.1796913175691,-86.8910274041475
"187","Papa Turney's BBQ Nashville Shores Marina","","1. Yes","","4. Information unavailable","3. 11-20 Events per month","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Waterfront outpost with a deck featuring hickory-smoked BBQ plates & comfort grub in a casual space.","","","(615) 866-8850

","3979 Bell Rd
Hermitage, TN 37076","Bell Rd","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Patron Event Center","","3. Information unavailable","","1. Always","","","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Patron Event Center is an Event and Entertainment venue with live music performances.","","patroneventcentertn@gmail.com","(615) 239-8582","","","Latin",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"709 RIVERGATE PKWY","02613006900","No Website",NA,"","Goodlettsville",36.3044670920087,-86.704437840607
"189","Pearl Diver","","3. Information unavailable","","1. Always","1. 1-4 Events per month","2. 3-10 Years","3. Tips","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Its a Bar with Live music Performances","","pearldivernashville@gmail.com","(615) 988-2265","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1010 GALLATIN AVE","08301015500","https://www.pearldivernashville.com/",37206,"Davidson","Nashville",36.1892113733575,-86.7463597053372
"190","Phat Bites Deli & Bar","","1. Yes","200","4. Information unavailable","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Phat Sandwiches, Wraps, Salads, Bongo Java Coffee, Espresso, Bar, Live Music, Open Mic, Karaoke and more!","","phatbitescatering@gmail.com","(615) 871-4055","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2730 LEBANON PIKE","09601001000","https://www.phatbites.com/",37214,"Davidson","Nashville",36.1688845558948,-86.6657065205595
"191","Play Dance Bar","Adrianna Flax","2. No","Null","4. Information unavailable","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"This nighclub offers sensational drag shows, live music, and a world-class dance floor with a roster of resident DJ's","","","(615) 322-9627","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1517 CHURCH ST","09212036500","https://www.playdancebar.com/",37203,"Davidson","Nashville",36.156659248748,-86.7934244511131
"192","Plaza Mariachi","Adrianna Flax","2. No","1126","2. Sometimes","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"A tourist and entertainment center that includes an art gallery, a Mariachi Hall of Fame, live Mariachi music as well as shopping","","","(615) 373-9292","","","Mariachi",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"3955 NOLENSVILLE PIKE","13315015400","https://plazamariachi.com/",37211,"Davidson","Nashville",36.0845717298691,-86.7298229124813
"193","Primm's Appetit","","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"","",NA,"(615) 881-0627","1104 Litton Ave, Nashville, TN 37216
","Litton Ave","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2830 GALLATIN PIKE","07210011500","https://www.facebook.com/profile.php?id=100064225534286",37216,"Davidson","Nashville",36.20222182285,-86.7387380360309
"194","Puckett's Grocery & Restaurant Downtown","","2. No","150","2. Sometimes","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Southern bar & grill with an old-general-store feel & a large stage for live music acts.","","nashville@puckettsgrocery.com","(615) 770-2772","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"201 REP JOHN LEWIS WAY N","09306104000","https://puckettsgro.com/nashville/",37219,"Davidson","Nashville",36.1632910482993,-86.7806398610302
"195","Queen Ave Collective","","3. Information unavailable","","4. Information unavailable","2. 5-10 Events per month","","4. Mixed/all of the above","3. Somewhat likely","2. Not too likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Queen Avenue Collective is a full service multi-media production team. The physical complex includes a black box room designed for video shoots, livestreams & broadcasts, a state of the art mastering facility (Bauhaus Mastering) , and a hi-fi recording studio.","","mike@queenavecollective.com","","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"180 QUEEN AVE","07107002600","https://www.queenavecollective.com/",37207,"Davidson","Nashville",36.2081136059466,-86.7663179443109
"196","Ray Stevens CabaRay","","1. Yes","725","2. Sometimes","2. 5-10 Events per month","2. 3-10 Years","","2. Not too likely","4. Very Likely","4. Very Likely","1.Not At All Likely",NA,"3. Somewhat likely",0,0,0,"A Vegas-style Cabaret Showroom in Nashville walls decorated as an homage to the producers, musicians, songwriters, and artists who made Nashville ?Music City? with live music and a full dinner service","","info@raystevenscabaray.com","(615) 327-4630","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"5724 RIVER RD","10200001200","https://raystevenscabaray.com/",37209,"Davidson","Nashville",36.1295806603487,-86.9084220158718
"197","Rebar at the Dam","","3. Information unavailable","","4. Information unavailable","3. 11-20 Events per month","","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Local bar with a small stage for live music & comedy acts, cheap food, sports TV & pool tables.","","","(615) 915-3486","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"3248 BLACKWOOD DR","09713003900","https://rebarnashville.com/",37214,"Davidson","Nashville",36.1520680469237,-86.6274070030623
"198","Red Door Saloon ","","3. Information unavailable","","4. Information unavailable","1. 1-4 Events per month","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Down-home bar and music venue  offering drinks, hot dogs, steamed sandwiches & more with optional outdoor seating ","","","(615) 320-6525","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Red Door Saloon East","","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Down-home bar and music venue  offering drinks, hot dogs, steamed sandwiches & more with optional outdoor seating ","","","(615) 226-7660","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1010 FORREST AVE","08309012700","https://reddooreast.splashthat.com/",37206,"Davidson","Nashville",36.17824763562,-86.7500578744722
"200","Redneck Riviera","Marcus Dowling","1. Yes","400","4. Information unavailable","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Raucous destination featuring cocktails, brews & BBQ meals, plus nightly live music & a rooftop bar.","","contact@redneckrivieranashville.com","(615) 436-4070","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"208 BROADWAY","09306211100","https://redneckrivieranashville.com/",37201,"Davidson","Nashville",36.1619056148992,-86.7759017882828
"201","Renaissance Nashville Hotel-Bridge Bar","","2. No","0","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"4. Very Likely",0,0,0,"Contemporary lounge features an eclectic array of live music, a 42-ft. bar & views of Nashville.","","","(615) 630-3899","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"611 COMMERCE ST","09306311900","https://www.marriott.com/en-us/hotels/bnash-renaissance-nashville-hotel/dining/",37203,"Davidson","Nashville",36.1607643782364,-86.7811421947112
